City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Nikolayevsk-Na-Amure,RU,53.1406,140.73,62.19,58,27,14.41,light rain
307,Svetlogorsk,BY,52.6333,29.7333,48.78,91,100,19.51,overcast clouds
308,Mattru,SL,7.6244,-11.8332,70.75,98,74,1.48,broken clouds
309,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,93,100,3.44,light rain
310,San Angelo,US,31.4638,-100.437,82.54,49,0,5.75,clear sky
311,Asau,RO,46.4333,26.4,47.32,78,30,8.01,scattered clouds
312,Chokurdakh,RU,70.6333,147.9167,44.13,43,73,14.52,broken clouds
313,Haines Junction,CA,60.7522,-137.5108,51.75,50,45,5.75,scattered clouds
314,Kaitangata,NZ,-46.2817,169.8464,58.86,63,100,3.33,overcast clouds
315,Tocopilla,CL,-22.092,-70.1979,60.8,68,19,5.23,few clouds
316,Bichura,RU,50.5881,107.6022,56.01,41,0,11.81,clear sky
317,Coos Bay,US,43.3665,-124.2179,62.92,83,0,8.05,clear sky
318,Yulara,AU,-25.2406,130.9889,89.58,10,22,9.6,few clouds
319,Lady Frere,ZA,-31.7031,27.2329,50.32,91,100,6.17,light rain
320,Zelenyy Bor,RU,53.6667,91.6667,51.82,63,6,5.39,clear sky
321,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,16.11,few clouds
322,Kununurra,AU,-15.7667,128.7333,98.58,22,7,12.66,clear sky
323,Port-Gentil,GA,-0.7193,8.7815,76.26,81,94,11.48,overcast clouds
324,Winslow,US,35.0242,-110.6974,68.18,32,0,8.05,clear sky
325,Orodara,BF,10.9492,-4.9342,68.14,96,100,4.47,moderate rain
326,Hofn,IS,64.2539,-15.2082,44.83,74,71,8.43,broken clouds
327,Visby,SE,57.6409,18.296,55.62,76,100,16.11,overcast clouds
328,Yamada,JP,39.4667,141.95,78.93,87,100,17.58,overcast clouds
329,Passo Fundo,BR,-28.2628,-52.4067,54.19,86,100,12.77,overcast clouds
330,Mwene-Ditu,CD,-7.0,23.45,67.53,90,100,1.97,overcast clouds
331,La Paz Centro,NI,12.34,-86.6753,74.89,94,100,0.6,light rain
332,Vostok,RU,46.4856,135.8833,42.13,96,98,6.87,overcast clouds
