City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Touros,BR,2022-09-18 22:21:34,-5.1989,-35.4608,77.29,80,20,15.39
135,Avarua,CK,2022-09-18 22:21:35,-21.2078,-159.775,77.05,78,100,5.75
136,Foumban,CM,2022-09-18 22:21:35,5.7291,10.9001,63.84,98,97,2.64
137,Qarchi Gak,AF,2022-09-18 22:21:36,37.04,66.7889,74.66,23,0,10.94
138,Puruaran,MX,2022-09-18 22:21:36,19.1,-101.5333,71.26,91,98,2.39
139,Mackay,AU,2022-09-18 22:21:37,-21.15,149.2,74.53,86,7,6.38
140,Harper,LR,2022-09-18 22:21:37,4.375,-7.7169,76.23,84,24,7.99
141,Marzuq,YE,2022-09-18 22:22:38,14.4,46.4667,80.76,38,29,3.09
142,Del Rio,US,2022-09-18 22:22:38,29.3627,-100.8968,91.8,46,0,12.66
143,Aasiaat,GL,2022-09-18 22:22:39,68.7098,-52.8699,34.07,92,99,3.58
144,Bowling Green,US,2022-09-18 22:20:29,36.9903,-86.4436,86.74,52,20,6.91
145,Qeshm,IR,2022-09-18 22:22:40,26.9581,56.2719,87.67,81,1,15.55
146,Lompoc,US,2022-09-18 22:18:19,34.6391,-120.4579,76.59,56,0,12.66
147,Kamenka,RU,2022-09-18 22:22:40,51.3223,42.7678,71.64,61,94,28.57
148,Camocim,BR,2022-09-18 22:22:41,-2.9022,-40.8411,78.51,83,99,17.67
149,Lisakovsk,KZ,2022-09-18 22:22:41,52.5369,62.4936,59.9,33,13,8.3
150,Los Llanos De Aridane,ES,2022-09-18 22:22:42,28.6585,-17.9182,71.35,94,20,3.44
151,Manzhouli,CN,2022-09-18 22:22:42,49.6,117.4333,32.61,50,2,13.15
152,Butaritari,KI,2022-09-18 22:22:43,3.0707,172.7902,80.94,79,7,14.52
153,Samarai,PG,2022-09-18 22:22:43,-10.6167,150.6667,81.54,83,94,16.31
154,Sao Joao Da Barra,BR,2022-09-18 22:22:43,-21.6403,-41.0511,68.09,73,1,10.89
155,Tamandare,BR,2022-09-18 22:22:44,-8.7597,-35.1047,75.02,78,7,8.59
156,Bonavista,CA,2022-09-18 22:22:44,48.6499,-53.1147,52.41,58,18,24.81
157,Bambous Virieux,MU,2022-09-18 22:22:45,-20.3428,57.7575,71.85,78,40,11.5
158,Beringovskiy,RU,2022-09-18 22:22:45,63.05,179.3167,39.9,79,99,10.94
159,Lake Charles,US,2022-09-18 22:17:49,30.2131,-93.2044,89.58,66,40,10.36
160,Kruisfontein,ZA,2022-09-18 22:22:46,-34.0033,24.7314,52.57,83,100,6.46
161,Flinders,AU,2022-09-18 22:22:46,-34.5833,150.8552,62.38,63,58,5.99
162,Bichena,ET,2022-09-18 22:22:47,10.45,38.2,52.38,80,68,3.98
163,East London,ZA,2022-09-18 22:22:47,-33.0153,27.9116,59.58,87,100,6.44
164,Chalmette,US,2022-09-18 22:22:48,29.9427,-89.9634,90.0,63,40,6.91
165,Castro,BR,2022-09-18 22:22:48,-24.7911,-50.0119,54.32,85,0,7.52
166,Puerto Del Rosario,ES,2022-09-18 22:22:49,28.5004,-13.8627,74.95,73,20,1.14
167,Okha,RU,2022-09-18 22:22:49,53.5739,142.9478,53.4,95,100,15.97
168,Dakar,SN,2022-09-18 22:20:04,14.6937,-17.4441,81.48,74,66,10.51
169,Sitka,US,2022-09-18 22:22:50,57.0531,-135.33,60.69,72,75,10.36
170,Campana,AR,2022-09-18 22:22:50,-34.1687,-58.9591,67.05,75,100,5.79
171,Altagracia De Orituco,VE,2022-09-18 22:22:50,9.8601,-66.3814,76.39,90,99,3.11
172,Cayenne,GF,2022-09-18 22:22:51,4.9333,-52.3333,82.44,78,0,4.61
173,Berlevag,NO,2022-09-18 22:22:51,70.8578,29.0864,46.35,93,75,17.27
174,Tuatapere,NZ,2022-09-18 22:22:52,-46.1333,167.6833,51.82,79,100,7.4
175,Erzin,TR,2022-09-18 22:22:52,36.9559,36.2,72.61,81,0,1.43
176,Florence,IT,2022-09-18 22:22:53,43.7667,11.25,65.53,75,0,6.91
177,Biak,ID,2022-09-18 22:22:53,-0.9131,122.8766,75.13,83,72,3.18
178,Taloda,IN,2022-09-18 22:22:53,21.5667,74.2167,75.69,89,100,10.29
179,Cherskiy,RU,2022-09-18 22:22:54,68.75,161.3,35.04,63,100,4.25
180,Sibolga,ID,2022-09-18 22:22:54,1.7427,98.7792,74.32,81,99,3.76
181,Langsa,ID,2022-09-18 22:22:55,4.4683,97.9683,73.94,95,99,2.19
182,Hun,LY,2022-09-18 22:22:55,29.1268,15.9477,85.75,16,0,7.38
183,Komsomolskiy,UZ,2022-09-18 22:22:56,40.4272,71.7189,66.92,45,37,9.22
184,Husavik,IS,2022-09-18 22:22:56,66.0449,-17.3389,48.02,73,20,8.19
185,Sigli,ID,2022-09-18 22:22:56,5.3848,95.9609,76.84,74,99,5.08
